county,dem_total,gop_total,other_total,novote_total,grand_total
Adair,1753,2275,93,2,4123
Adams,897,1170,76,2,2145
Allamakee,2883,3277,295,7,6462
Appanoose,2560,2992,150,2,5704
Audubon,1780,1909,90,5,3784
Benton,5915,5468,371,12,11766
Black Hawk,30112,23468,1444,61,55085
Boone,6270,5625,337,17,12249
Bremer,5169,5675,317,14,11175
Buchanan,5045,4092,265,8,9410
Buena Vista,3297,4354,322,4,7977
Butler,2735,3837,148,4,6724
Calhoun,2132,2776,131,2,5041
Carroll,4463,4879,218,8,9568
Cass,2481,4206,185,8,6880
Cedar,4033,4031,271,9,8344
Cerro Gordo,12185,9397,560,20,22162
Cherokee,2845,3463,275,9,6592
Chickasaw,3435,2936,210,3,6584
Clarke,2081,1984,108,3,4176
Clay,3294,3992,283,9,7578
Clayton,4238,4034,296,3,8571
Clinton,12276,9229,671,4,22180
Crawford,2838,3482,235,0,6555
Dallas,8561,10306,437,26,19330
Davis,1691,1956,108,3,3758
Decatur,1674,1903,132,0,3709
Delaware,3808,4273,266,2,8349
Des Moines,11351,7385,612,17,19365
Dickinson,3660,4225,224,12,8121
Dubuque,22341,16462,1497,23,40323
Emmet,2165,2331,130,4,4630
Fayette,4640,4747,231,3,9621
Floyd,3830,3191,211,6,7238
Franklin,2122,2657,155,4,4938
Fremont,1459,2069,85,3,3616
Greene,2301,2282,136,0,4719
Grundy,2139,3851,111,10,6111
Guthrie,2493,2840,133,3,5469
Hamilton,3407,3968,194,5,7574
Hancock,2281,2988,167,2,5438
Hardin,3734,4486,209,6,8435
Harrison,2551,3802,184,6,6543
Henry,3907,4476,272,16,8671
Howard,2426,1922,138,5,4491
Humboldt,1949,2846,139,6,4940
Ida,1411,1968,112,0,3491
Iowa,3230,3894,284,5,7413
Jackson,4945,3769,304,14,9032
Jasper,8699,8729,401,6,17835
Jefferson,2863,3248,1423,14,7548
Johnson,31174,17899,3635,61,52769
Jones,4690,4201,244,8,9143
Keokuk,2181,2571,193,2,4947
Kossuth,3960,4612,290,16,8878
Lee,9632,6339,584,17,16572
Linn,48897,40417,2649,101,92064
Louisa,2294,2207,132,4,4637
Lucas,1934,2262,104,3,4303
Lyon,1313,3918,111,0,5342
Madison,3093,3662,201,13,6969
Mahaska,3370,5971,199,3,9543
Marion,5741,8358,301,8,14408
Marshall,8322,8785,490,27,17624
Mills,2039,3684,184,8,5915
Mitchell,2650,2388,122,2,5162
Monona,2086,2304,165,5,4560
Monroe,1699,1858,87,3,3647
Montgomery,1838,3417,131,8,5394
Muscatine,8058,7483,516,19,16076
O'Brien,2170,4674,191,9,7044
Osceola,913,2064,86,0,3063
Page,2293,4588,170,8,7059
Palo Alto,2326,2341,156,0,4823
Plymouth,3499,6189,425,5,10118
Pocahontas,1736,2242,156,7,4141
Polk,89715,79927,4371,154,174167
Pottawattamie,14726,18783,926,32,34467
Poweshiek,4222,4396,354,8,8980
Ringgold,1246,1369,70,7,2692
Sac,2099,2776,158,0,5033
Scott,35857,32801,1870,40,70568
Shelby,2179,3655,169,6,6009
Sioux,2148,12241,301,2,14692
Story,17478,16228,1606,52,35364
Tama,4045,4034,224,12,8315
Taylor,1247,1770,77,2,3096
Union,2540,3003,193,4,5740
Van Buren,1440,2016,102,3,3561
Wapello,8355,6313,458,13,15139
Warren,9521,9621,498,13,19653
Washington,3932,4827,331,4,9094
Wayne,1300,1666,54,1,3021
Webster,8479,8172,388,9,17048
Winnebago,2691,2662,168,6,5527
Winneshiek,4339,4647,420,11,9417
Woodbury,17691,18864,1318,23,37896
Worth,2208,1659,128,9,4004
Wright,2796,3384,153,3,6336
