fips,name,dem_total,gop_total,other_total,novote_total,grand_total,leader,leader_total,margin
19001,Adair,1924,2060,56,13,4066,gop,2060,136
19003,Adams,1118,1046,35,29,2257,dem,1118,72
19005,Allamakee,3971,2965,94,46,7122,dem,3971,1006
19007,Appanoose,2970,3086,102,21,6200,gop,3086,116
19009,Audubon,1739,1634,45,50,3518,dem,1739,105
19011,Benton,7058,6447,161,103,13872,dem,7058,611
19013,Black Hawk,39184,24662,687,527,65587,dem,39184,14522
19015,Boone,7356,6293,193,169,14180,dem,7356,1063
19017,Bremer,6940,5741,141,86,12994,dem,6940,1199
19019,Buchanan,6050,4139,120,45,10399,dem,6050,1911
19021,Buena Vista,4075,4223,90,113,8614,gop,4223,148
19023,Butler,3364,3700,79,61,7265,gop,3700,336
19025,Calhoun,2341,2741,72,79,5312,gop,2741,400
19027,Carroll,5302,4922,128,142,10636,dem,5302,380
19029,Cass,3211,4006,99,96,7508,gop,4006,795
19031,Cedar,5221,4289,126,76,9788,dem,5221,932
19033,Cerro Gordo,14405,9375,258,255,24548,dem,14405,5030
19035,Cherokee,2890,3372,82,24,6392,gop,3372,482
19037,Chickasaw,3923,2557,71,90,6731,dem,3923,1366
19039,Clarke,2218,2118,86,33,4488,dem,2218,100
19041,Clay,3925,4355,88,74,8516,gop,4355,430
19043,Clayton,5195,3651,120,24,9014,dem,5195,1544
19045,Clinton,15018,9324,286,247,25122,dem,15018,5694
19047,Crawford,3715,3345,105,125,7415,dem,3715,370
19049,Dallas,15149,16954,396,260,33019,gop,16954,1805
19051,Davis,1680,2029,75,34,3852,gop,2029,349
19053,Decatur,1986,2020,67,33,4139,gop,2020,34
19055,Delaware,4649,4113,113,28,8931,dem,4649,536
19057,Des Moines,12462,7721,267,243,20936,dem,12462,4741
19059,Dickinson,4625,5162,94,61,10003,gop,5162,537
19061,Dubuque,28611,18651,513,480,48735,dem,28611,9960
19063,Emmet,2570,2373,65,70,5148,dem,2570,197
19065,Fayette,5908,4205,115,112,10452,dem,5908,1703
19067,Floyd,4822,3051,181,123,8300,dem,4822,1771
19069,Franklin,2575,2501,55,77,5285,dem,2575,74
19071,Fremont,1848,1989,44,60,4001,gop,1989,141
19073,Greene,2371,2349,56,82,4940,dem,2371,22
19075,Grundy,2790,3945,65,90,6980,gop,3945,1155
19077,Guthrie,2625,3074,119,40,5898,gop,3074,449
19079,Hamilton,4018,3913,118,95,8239,dem,4018,105
19081,Hancock,2805,3016,86,76,6059,gop,3016,211
19083,Hardin,4393,4315,122,126,9082,dem,4393,78
19085,Harrison,3555,3909,84,89,7726,gop,3909,354
19087,Henry,4349,4822,147,108,9534,gop,4822,473
19089,Howard,2941,1722,52,14,4743,dem,2941,1219
19091,Humboldt,2160,2895,63,18,5154,gop,2895,735
19093,Ida,1454,2036,45,12,3559,gop,2036,582
19095,Iowa,4202,4188,126,40,8596,dem,4202,14
19097,Jackson,6102,3673,132,50,10007,dem,6102,2429
19099,Jasper,10250,8794,260,262,19828,dem,10250,1456
19101,Jefferson,5070,3324,152,129,8804,dem,5070,1746
19103,Johnson,51027,20732,884,588,73819,dem,51027,30295
19105,Jones,5446,4405,119,110,10190,dem,5446,1041
19107,Keokuk,2518,2712,94,42,5408,gop,2712,194
19109,Kossuth,4625,4329,111,138,9341,dem,4625,296
19111,Lee,9821,7062,259,210,17562,dem,9821,2759
19113,Linn,68037,43626,1191,867,114588,dem,68037,24411
19115,Louisa,2523,2314,56,75,5043,dem,2523,209
19117,Lucas,2029,2330,81,36,4512,gop,2330,301
19119,Lyon,1675,4471,63,46,6301,gop,4471,2796
19121,Madison,3733,4579,133,84,8613,gop,4579,846
19123,Mahaska,4464,6271,141,76,11028,gop,6271,1807
19125,Marion,7421,9256,245,193,17308,gop,9256,1835
19127,Marshall,10023,8278,256,208,18973,dem,10023,1745
19129,Mills,2976,4183,99,69,7396,gop,4183,1207
19131,Mitchell,3179,2469,80,38,5804,dem,3179,710
19133,Monona,2295,2411,65,26,4823,gop,2411,116
19135,Monroe,1798,2000,58,53,3962,gop,2000,202
19137,Montgomery,2326,2887,57,19,5308,gop,2887,561
19139,Muscatine,10920,7929,179,208,19444,dem,10920,2991
19141,O'Brien,2338,4894,82,40,7394,gop,4894,2556
19143,Osceola,1037,2027,56,25,3170,gop,2027,990
19177,Van Buren,1546,1986,61,47,3687,gop,1986,440
19179,Wapello,8820,6663,335,257,16332,dem,8820,2157
19181,Warren,12299,12144,311,158,25070,dem,12299,155
19183,Washington,5170,5247,163,62,10704,gop,5247,77
19185,Wayne,1357,1565,40,19,3000,gop,1565,208
19187,Webster,9917,8337,229,225,18933,dem,9917,1580
19189,Winnebago,3254,2730,76,62,6184,dem,3254,524
19191,Winneshiek,6829,4273,141,124,11491,dem,6829,2556
19193,Woodbury,21983,22219,435,178,44993,gop,22219,236
19195,Worth,2567,1612,64,39,4321,dem,2567,955
19197,Wright,3102,3198,71,24,6419,gop,3198,96
